
걷기, Walk
달리기, Run
점프, Jump
앉기, Sit
일어서기, Stand up
누우기, Lie down
일어나기, Get up
물건 들기, Lift an object
물건 내리기, Lower an object
던지기, Throw
받기, Catch
물건 옮기기, Move an object
헤어스타일 바꾸기, Change hairstyle
화장하기, Apply makeup
머리 감기, Get a haircut
손씻기, Wash hands
목욕하기, Take a bath
칫솔질하기, Brush teeth
식사하기, Have a meal

음료 마시기, Drink
잠자기, Sleep
깨어나기, Wake up
춤추기, Dance
농구하거나 농구공 던지기, Play basketball or shoot a basketball
축구하거나 축구공 차기, Play soccer or kick a soccer ball
골프치기, Play golf
테니스치기, Play tennis
수영하기, Swim
사이클타기, Ride a bicycle
스케이트보드 타기, Skateboard
스노우보드 타기, Snowboard
스키 타기, Ski
등산하기, Hike
사진 찍기, Take a photo
책 읽기, Read a book
텔레비전 시청, Watch TV
음악 듣기, Listen to music
악기 연주하기, Play a musical instrument

노래 부르기, Sing
물고기 잡기, Fish
화로에 불 피우기, Build a fire in a fireplace
텐트 설치하기, Set up a tent
캠프 파이어 만들기, Make a campfire
휴대폰 사용하기, Use a mobile phone
컴퓨터 사용하기, Use a computer
쇼핑하기, Shop
운전하기, Drive
여행하기, Travel
운동하기, Exercise
요가 또는 명상하기, Do yoga or meditate
수영하거나 다이빙하기, Swim or dive
자전거 타기, Ride a bicycle
스케이트보드 타기, Skateboard
스노우보드 타기, Snowboard
스키 타기, Ski
스노클링하기, Snorkel
요트 타기, Sail a yacht

탁구 치기, Play table tennis
체스하거나 보드게임하기, Play chess or board games
사무실 업무, Office work
요리하기, Cook
세탁하기, Do laundry
청소하기, Clean
정원 가꾸기, Garden
창문 닦기, Clean windows
자동차 수리, Repair a car
식물 물주기, Water plants
쓰레기 버리기, Take out the trash
손목시계 차기, Wear a watch
목걸이 착용, Wear a necklace
신발 끈 묶기, Tie shoelaces
스마트폰 충전하기, Charge a smartphone
종이에 쓰기, Write on paper
책상에서 일하기, Work at a desk
무엇을 그리거나 그림 그리기, Draw or paint
비디오 게임하기, Play video games

음식 조리하기, Prepare food
물 펌프 사용하기, Use a water pump
낚시하기, Go fishing
차 타기, Ride a car
피아노 연주하기, Play the piano
기타 연주하기, Play the guitar
사진 찍기, Take photographs
비행기 타기, Fly in an airplane
버스를 타기, Take a bus
기차를 타기, Take a train
배를 타기, Take a boat
서핑하기, Go surfing
수영장에서 수영하기, Swim in a pool
탁구하거나 테니스치기, Play ping pong or tennis
등산하기, Go hiking
낙서하기, Doodle
말 타기, Ride a horse
승마하기, Go horseback riding
사무실 회의하기, Attend an office meeting

학교 공부하기, Study at school
글 쓰기, Write
영화 보기, Watch a movie
라디오 청취, Listen to the radio
신문 읽기, Read a newspaper
손톱 깎기, Trim nails
세수 하기, Wash your face
얼굴 씻기, Wash your face
커피 마시기, Drink coffee
차 마시기, Drink tea
주스 마시기, Drink juice
아이스크림 먹기, Eat ice cream
파티 참석하기, Attend a party
친구와 이야기하기, Talk to friends
애완동물 키우기, Have a pet
베개에 머리를 눕히기, Lay your head on a pillow
태양 뜨기, Sunbathe
선글라스 착용, Wear sunglasses
얼음크림 주문하기, Order ice cream
비행기에서 낙하산 사용하기, Use a parachute from an airplane
스카이다이빙 하기, Go skydiving
